manufacturer,device,param_id,name,categories,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Elektron,Digitone II,1508798480,T16 SYN Op C Phase,syn/fmdrum,58,,0,91,1,91,0,91,0-based,,
Elektron,Digitone II,1508798479,T15 SYN Op C Phase,syn/fmdrum,58,,0,91,1,91,0,91,0-based,,
Elektron,Digitone II,1508798478,T14 SYN Op C Phase,syn/fmdrum,58,,0,91,1,91,0,91,0-based,,
Elektron,Digitone II,1508798477,T13 SYN Op C Phase,syn/fmdrum,58,,0,91,1,91,0,91,0-based,,
Elektron,Digitone II,1508798476,T12 SYN Op C Phase,syn/fmdrum,58,,0,91,1,91,0,91,0-based,,
Elektron,Digitone II,1508798475,T11 SYN Op C Phase,syn/fmdrum,58,,0,91,1,91,0,91,0-based,,
Elektron,Digitone II,48670925,T10 SYN Op C Phase,syn/fmdrum,58,,0,91,1,91,0,91,0-based,,
Elektron,Digitone II,48670924,T9 SYN Op C Phase,syn/fmdrum,58,,0,91,1,91,0,91,0-based,,
Elektron,Digitone II,48670923,T8 SYN Op C Phase,syn/fmdrum,58,,0,91,1,91,0,91,0-based,,
Elektron,Digitone II,48670922,T7 SYN Op C Phase,syn/fmdrum,58,,0,91,1,91,0,91,0-based,,
Elektron,Digitone II,48670921,T6 SYN Op C Phase,syn/fmdrum,58,,0,91,1,91,0,91,0-based,,
Elektron,Digitone II,48670920,T5 SYN Op C Phase,syn/fmdrum,58,,0,91,1,91,0,91,0-based,,
Elektron,Digitone II,48670919,T4 SYN Op C Phase,syn/fmdrum,58,,0,91,1,91,0,91,0-based,,
Elektron,Digitone II,48670918,T3 SYN Op C Phase,syn/fmdrum,58,,0,91,1,91,0,91,0-based,,
Elektron,Digitone II,48670917,T2 SYN Op C Phase,syn/fmdrum,58,,0,91,1,91,0,91,0-based,,
Elektron,Digitone II,48670916,T1 SYN Op C Phase,syn/fmdrum,58,,0,91,1,91,0,91,0-based,,
Elektron,Digitone II,1507785586,T16 SYN Operator AB Wave,syn/fmdrum,45,,0,127,1,78,0,16256,0-based,,
Elektron,Digitone II,1507785585,T15 SYN Operator AB Wave,syn/fmdrum,45,,0,127,1,78,0,16256,0-based,,
Elektron,Digitone II,1507785584,T14 SYN Operator AB Wave,syn/fmdrum,45,,0,127,1,78,0,16256,0-based,,
Elektron,Digitone II,1507785583,T13 SYN Operator AB Wave,syn/fmdrum,45,,0,127,1,78,0,16256,0-based,,
Elektron,Digitone II,1507785582,T12 SYN Operator AB Wave,syn/fmdrum,45,,0,127,1,78,0,16256,0-based,,
Elektron,Digitone II,1507785581,T11 SYN Operator AB Wave,syn/fmdrum,45,,0,127,1,78,0,16256,0-based,,
Elektron,Digitone II,48638251,T10 SYN Operator AB Wave,syn/fmdrum,45,,0,127,1,78,0,16256,0-based,,
Elektron,Digitone II,48638250,T9 SYN Operator AB Wave,syn/fmdrum,45,,0,127,1,78,0,16256,0-based,,
Elektron,Digitone II,48638249,T8 SYN Operator AB Wave,syn/fmdrum,45,,0,127,1,78,0,16256,0-based,,
Elektron,Digitone II,48638248,T7 SYN Operator AB Wave,syn/fmdrum,45,,0,127,1,78,0,16256,0-based,,
Elektron,Digitone II,48638247,T6 SYN Operator AB Wave,syn/fmdrum,45,,0,127,1,78,0,16256,0-based,,
Elektron,Digitone II,48638246,T5 SYN Operator AB Wave,syn/fmdrum,45,,0,127,1,78,0,16256,0-based,,
Elektron,Digitone II,48638245,T4 SYN Operator AB Wave,syn/fmdrum,45,,0,127,1,78,0,16256,0-based,,
Elektron,Digitone II,48638244,T3 SYN Operator AB Wave,syn/fmdrum,45,,0,127,1,78,0,16256,0-based,,
Elektron,Digitone II,48638243,T2 SYN Operator AB Wave,syn/fmdrum,45,,0,127,1,78,0,16256,0-based,,
Elektron,Digitone II,48638242,T1 SYN Operator AB Wave,syn/fmdrum,45,,0,127,1,78,0,16256,0-based,,
Elektron,Digitone II,1507755795,T16 SYN Operator C Wave,syn/fmdrum,44,,0,127,1,77,0,16256,0-based,,
Elektron,Digitone II,1507755794,T15 SYN Operator C Wave,syn/fmdrum,44,,0,127,1,77,0,16256,0-based,,
Elektron,Digitone II,1507755793,T14 SYN Operator C Wave,syn/fmdrum,44,,0,127,1,77,0,16256,0-based,,
Elektron,Digitone II,1507755792,T13 SYN Operator C Wave,syn/fmdrum,44,,0,127,1,77,0,16256,0-based,,
Elektron,Digitone II,1507755791,T12 SYN Operator C Wave,syn/fmdrum,44,,0,127,1,77,0,16256,0-based,,
Elektron,Digitone II,1507755790,T11 SYN Operator C Wave,syn/fmdrum,44,,0,127,1,77,0,16256,0-based,,
Elektron,Digitone II,48637290,T10 SYN Operator C Wave,syn/fmdrum,44,,0,127,1,77,0,16256,0-based,,
Elektron,Digitone II,48637289,T9 SYN Operator C Wave,syn/fmdrum,44,,0,127,1,77,0,16256,0-based,,
Elektron,Digitone II,48637288,T8 SYN Operator C Wave,syn/fmdrum,44,,0,127,1,77,0,16256,0-based,,
Elektron,Digitone II,48637287,T7 SYN Operator C Wave,syn/fmdrum,44,,0,127,1,77,0,16256,0-based,,
Elektron,Digitone II,48637286,T6 SYN Operator C Wave,syn/fmdrum,44,,0,127,1,77,0,16256,0-based,,
Elektron,Digitone II,48637285,T5 SYN Operator C Wave,syn/fmdrum,44,,0,127,1,77,0,16256,0-based,,
Elektron,Digitone II,48637284,T4 SYN Operator C Wave,syn/fmdrum,44,,0,127,1,77,0,16256,0-based,,
Elektron,Digitone II,48637283,T3 SYN Operator C Wave,syn/fmdrum,44,,0,127,1,77,0,16256,0-based,,
Elektron,Digitone II,48637282,T2 SYN Operator C Wave,syn/fmdrum,44,,0,127,1,77,0,16256,0-based,,
Elektron,Digitone II,48637281,T1 SYN Operator C Wave,syn/fmdrum,44,,0,127,1,77,0,16256,0-based,,
Elektron,Digitone II,1483088847,T16 SYN Osc Drift,syn/wavetone,55,,0,127,1,88,0,127,0-based,,
Elektron,Digitone II,1483088846,T15 SYN Osc Drift,syn/wavetone,55,,0,127,1,88,0,127,0-based,,
Elektron,Digitone II,1483088845,T14 SYN Osc Drift,syn/wavetone,55,,0,127,1,88,0,127,0-based,,
Elektron,Digitone II,1483088844,T13 SYN Osc Drift,syn/wavetone,55,,0,127,1,88,0,127,0-based,,
Elektron,Digitone II,1483088843,T12 SYN Osc Drift,syn/wavetone,55,,0,127,1,88,0,127,0-based,,
Elektron,Digitone II,1483088842,T11 SYN Osc Drift,syn/wavetone,55,,0,127,1,88,0,127,0-based,,
Elektron,Digitone II,47841582,T10 SYN Osc Drift,syn/wavetone,55,,0,127,1,88,0,127,0-based,,
Elektron,Digitone II,47841581,T9 SYN Osc Drift,syn/wavetone,55,,0,127,1,88,0,127,0-based,,
Elektron,Digitone II,47841580,T8 SYN Osc Drift,syn/wavetone,55,,0,127,1,88,0,127,0-based,,
Elektron,Digitone II,47841579,T7 SYN Osc Drift,syn/wavetone,55,,0,127,1,88,0,127,0-based,,
Elektron,Digitone II,47841578,T6 SYN Osc Drift,syn/wavetone,55,,0,127,1,88,0,127,0-based,,
Elektron,Digitone II,47841577,T5 SYN Osc Drift,syn/wavetone,55,,0,127,1,88,0,127,0-based,,
